url,title,published,author,categories,audio_links
https://uea.facila.org/artikoloj/homoj/forpasis-giuseppe-grattapaglia-r371,Forpasis Giuseppe Grattapaglia,2023-06-15T22:11:00+00:00,,Homoj,https://uea.facila.org/uploads/monthly_2023_06/1700360254_ForpasisGiuseppeGrattapagliaD.mp3.f8325743b4fd50ad27922712456571a9.mp3
https://uea.facila.org/artikoloj/movado/%C4%89u-balda%C5%AD-estos-nova-esperanto-urbo-r373,Ĉu baldaŭ estos nova Esperanto-urbo?,2023-06-29T19:30:00+00:00,Alfons Tur,Movado,https://uea.facila.org/uploads/monthly_2023_06/179200896_NovaEsperanto-urbored.mp3.1eb0d51b023fcc07cf057e81b2601cc4.mp3
https://uea.facila.org/artikoloj/movado/naturismo-kaj-esperanto-havas-komunajn-valorojn-r374,Naturismo kaj Esperanto havas komunajn valorojn,2023-07-01T21:42:00+00:00,Thierry Spanjaard,Movado,https://uea.facila.org/uploads/monthly_2023_06/2076807856_Naturismo-UEAfacila.mp3.e4bc938e6880193ec15f0dffa35ad501.mp3
https://uea.facila.org/artikoloj/opinioj/adoleskeco-r382,Adoleskeco,2023-08-21T07:12:06+00:00,Honoré Sebuhoro,Opinioj,https://uea.facila.org/uploads/monthly_2023_08/Adoleskeco.mp3.3d0c964346a5c2e117b348954bf3f8d2.mp3
https://uea.facila.org/artikoloj/literaturo/en-mia-vila%C4%9Do-r384,En mia vilaĝo,2023-09-07T07:42:30+00:00,Marcelin Luheka,Literaturo,https://uea.facila.org/uploads/monthly_2023_09/330534167_Enmiavilagored.mp3.bde2422d64191b1e38f5fd4b6f703935.mp3
https://uea.facila.org/artikoloj/homoj/george-orwell-rusujo-%E2%80%A6-kaj-esperanto-r402,"George Orwell, Rusujo … kaj Esperanto",2023-12-12T12:17:00+00:00,Eric Lee,Homoj,https://uea.facila.org/uploads/monthly_2023_12/1313426758_OrwellkajEsperantored.mp3.32b2fa77381fc974265e37387b9f5b53.mp3
