url,title,published,author,categories,audio_links
https://www.liberafolio.org/2018/01/03/buller-volas-novan-teamon/,Buller volas novan teamon,2018-01-03T09:04:54+01:00,,"UEA,movado",
https://www.liberafolio.org/2018/01/09/steven-brewer-volas-montri-la-utilon-de-esperanto-al-global-voices/,Steven Brewer volas montri la utilon de Esperanto al Global Voices,2018-01-09T08:52:39+01:00,,interreto,
https://www.liberafolio.org/2018/01/16/vizitrekordo-ce-la-esperanto-muzeo-en-vieno/,Vizitrekordo ĉe la Esperanto-muzeo en Vieno,2018-01-16T11:22:18+01:00,,kulturo,
https://www.liberafolio.org/2018/01/17/la-libroj-de-la-jaro-2017/,La libroj de la jaro 2017,2018-01-17T08:16:57+01:00,,kulturo,
https://www.liberafolio.org/2018/01/24/vizito-en-lager-lechfeld-1915/,Vizito en Lager Lechfeld 1915,2018-01-24T08:49:17+01:00,,kulturo,
https://www.liberafolio.org/2018/01/24/esperanto-en-la-granda-milito/,Esperanto en la Granda Milito,2018-01-24T08:49:37+01:00,,kulturo,
https://www.liberafolio.org/2018/01/30/tejo-kun-nova-prezidanto-kongresos-en-slovakio/,TEJO kun nova prezidanto kongresos en Slovakio,2018-01-30T08:45:33+01:00,,"TEJO,movado",
https://www.liberafolio.org/2018/01/30/dmitrij-bogatov-liberigita-el-hejma-aresto/,Dmitrij Bogatov liberigita el hejma aresto,2018-01-30T21:53:36+01:00,,movado,
https://www.liberafolio.org/2018/01/31/kancerkroniko/,Kancerkroniko,2018-01-31T10:30:43+01:00,,kulturo,
https://www.liberafolio.org/2018/02/06/la-lasta-adreso-de-nikolaj-incertov/,La lasta adreso de Nikolaj Incertov,2018-02-06T08:06:27+01:00,,"kulturo,movado",
https://www.liberafolio.org/2018/02/08/aleks-kadar-nova-generala-sekretario-de-uea/,Aleks Kadar nova ĝenerala sekretario de UEA,2018-02-08T08:15:31+01:00,,"UEA,movado",
https://www.liberafolio.org/2018/02/21/libera-folio-plej-populara-primovada-retejo/,Libera Folio plej populara primovada retejo,2018-02-21T09:52:55+01:00,,interreto,
https://www.liberafolio.org/2018/02/27/elekta-komisiono-volas-du-novajn-estraranojn/,Elekta komisiono volas du novajn estraranojn,2018-02-27T07:56:47+01:00,,"UEA,movado",
https://www.liberafolio.org/2018/02/27/uea-promesas-novan-retejon-ene-de-kelkaj-monatoj/,UEA promesas novan retejon ene de kelkaj monatoj,2018-02-27T08:25:32+01:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2018/03/03/cu-esperantistoj-bezonas-propran-valuton/,Ĉu esperantistoj bezonas propran valuton?,2018-03-03T17:04:52+01:00,,vidpunkto,
https://www.liberafolio.org/2018/03/04/financa-laborgrupo-volas-ke-uea-draste-sparu/,Financa laborgrupo volas ke UEA draste ŝparu,2018-03-04T06:38:16+01:00,,"UEA,movado",
https://www.liberafolio.org/2018/03/09/evildea-cesas-fari-filmetojn/,Evildea ĉesas fari filmetojn,2018-03-09T08:09:50+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2018/03/23/ideo/,Esperanto sur la scenejo en nederlanda teatro,2018-03-23T11:35:01+01:00,,kulturo,
https://www.liberafolio.org/2018/03/24/amikumu-igas-socia-reto/,Amikumu iĝas socia reto,2018-03-24T15:02:00+01:00,,interreto,
https://www.liberafolio.org/2018/03/28/la-redaktoro-de-libera-folio-premiita-pro-kontribuo-al-esperanta-fakliteraturo/,La redaktoro de Libera Folio premiita pro kontribuo al la Esperanta fakliteraturo,2018-03-28T08:02:24+02:00,,kulturo,
https://www.liberafolio.org/2018/04/02/biciklado-el-berlino-al-lisbono/,Biciklado de Berlino al Lisbono,2018-04-02T11:53:08+02:00,,movado,
https://www.liberafolio.org/2018/04/06/la-srumpado-de-uea-momente-haltis/,La ŝrumpado de UEA momente haltis,2018-04-06T06:38:13+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/04/10/opero-en-esperanto-sur-la-ceha-nacia-scenejo/,Opero en Esperanto sur la ĉeĥa nacia scenejo,2018-04-10T11:04:37+02:00,,kulturo,
https://www.liberafolio.org/2018/04/17/uea-ricigas-kaj-malricigas-samtempe/,UEA riĉiĝas kaj malriĉiĝas samtempe,2018-04-17T12:39:01+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/04/25/trezoro-volas-profundigi-la-rilatojn-kun-unesko/,Trezoro volas profundigi la rilatojn kun Unesko,2018-04-25T18:42:36+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/04/25/trezoro-samtempe-en-kaj-ekster-la-estraro/,Trezoro samtempe en kaj ekster la estraro,2018-04-25T19:49:56+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/05/02/generalo-franco-trovis-esperanton-framasona/,Generalo Franco trovis Esperanton framasona,2018-05-02T19:53:05+02:00,,kulturo,
https://www.liberafolio.org/2018/05/02/fettes-trezoro-estos-traktata-kiel-estrarano/,Fettes: ”Trezoro estos traktata kiel estrarano”,2018-05-02T22:20:38+02:00,,movado,
https://www.liberafolio.org/2018/05/09/pomego-proksimigadas-al-papera-reapero/,Pomego proksimiĝadas al papera reapero,2018-05-09T10:30:47+02:00,,kulturo,
https://www.liberafolio.org/2018/05/10/uea-nuligas-la-jarlibron-kaj-altigas-la-kotizon/,UEA nuligas la Jarlibron kaj altigas la kotizon,2018-05-10T06:06:04+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/05/17/duolingo-ekhavis-trian-lingvon/,Duolingo ekhavis trian lingvon,2018-05-17T08:12:12+02:00,,interreto,
https://www.liberafolio.org/2018/05/28/kiel-junigi-la-movadon/,Kiel junigi la movadon?,2018-05-28T13:35:47+02:00,,vidpunkto,
https://www.liberafolio.org/2018/05/29/esperantujo-ekprotektas-siajn-datumojn/,Esperantujo ekprotektas siajn datumojn,2018-05-29T08:09:21+02:00,,interreto,
https://www.liberafolio.org/2018/06/05/dmitrij-bogatov-en-intervjuo-de-libera-folio/,Dmitrij Bogatov en intervjuo de Libera Folio,2018-06-05T07:54:33+02:00,,interreto,
https://www.liberafolio.org/2018/06/13/tejo-pripensas-siajn-politikajn-poziciojn/,TEJO pripensas siajn politikajn poziciojn,2018-06-13T08:16:09+02:00,,"TEJO,movado",
https://www.liberafolio.org/2018/06/20/esperantistoj-vivtenas-aktivulojn-en-afriko/,Esperantistoj vivtenas aktivulojn en Afriko,2018-06-20T08:25:42+02:00,,movado,
https://www.liberafolio.org/2018/06/27/esperanto-furoras-en-renkontigejo-de-duolingo/,Esperanto furoras en renkontiĝejo de Duolingo,2018-06-27T08:48:04+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2018/07/03/baldau-dek-jaroj-da-angla-blogado-pri-esperanto/,Baldaŭ dek jaroj da anglalingva blogado pri Esperanto,2018-07-03T08:04:39+02:00,,interreto,
https://www.liberafolio.org/2018/07/14/lisbono-promesas-plene-portugalan-kongreson/,Lisbono promesas plene portugalan kongreson,2018-07-14T09:32:26+02:00,,"UEA,movado",
https://www.liberafolio.org/2018/07/19/uea-uzis-33-000-eurojn-por-nova-retejo/,UEA uzis 33.000 eŭrojn por nova retejo,2018-07-19T06:45:34+02:00,,"UEA,interreto,movado",
