url,title,published,author,categories,audio_links
https://www.liberafolio.org/2021/01/01/la-bugeto-de-uea-estis-aprobita-lastmomente/,La buĝeto de UEA estis aprobita lastmomente,2021-01-01T14:57:03+01:00,,"UEA,movado",
https://www.liberafolio.org/2021/01/08/20-000-membroj-en-reta-esperanto-grupo/,20 000 membroj en reta Esperanto-grupo,2021-01-08T07:07:52+01:00,,interreto,
https://www.liberafolio.org/2021/01/11/komitatano-de-uea-demisias-proteste/,Komitatano de UEA demisias proteste,2021-01-11T14:39:07+01:00,,"UEA,movado,vidpunkto",
https://www.liberafolio.org/2021/01/15/vicprezidanto-de-isae-la-angla-venkis/,Vicprezidanto de ISAE: ”La angla venkis”,2021-01-15T07:45:17+01:00,,"kulturo,movado",
https://www.liberafolio.org/2021/01/19/du-jardekoj-kun-la-esperanta-vikipedio/,Du jardekoj kun la Esperanta Vikipedio,2021-01-19T08:17:51+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2021/01/24/buller-lerni-esperanton-plej-gravas/,Buller: ”Lerni Esperanton plej gravas”,2021-01-24T11:47:15+01:00,,vidpunkto,
https://www.liberafolio.org/2021/01/29/cu-ciuj-esperantistoj-ekuzu-telegram-kaj-kial/,Ĉu ĉiuj esperantistoj ekuzu Telegram? Kaj kial?,2021-01-29T08:28:12+01:00,,interreto,
https://www.liberafolio.org/2021/02/03/esperantistoj-prelegos-angle-al-esperantistoj/,Esperantistoj prelegos angle al esperantistoj,2021-02-03T07:53:30+01:00,,"TEJO,movado",
https://www.liberafolio.org/2021/02/09/esperantistoj-malaperigis-esperanton/,Esperantistoj malaperigis Esperanton,2021-02-09T07:29:39+01:00,,"kulturo,movado",
https://www.liberafolio.org/2021/02/12/kial-verki-kaj-legi-en-esperanto/,Kial verki kaj legi en Esperanto?,2021-02-12T08:22:21+01:00,,kulturo,
https://www.liberafolio.org/2021/02/16/tejo-ree-eventos-rete-ijk-plu-malcertas/,TEJO ree eventos rete – IJK plu malcertas,2021-02-16T08:06:11+01:00,,"TEJO,interreto,movado",
https://www.liberafolio.org/2021/02/20/cent-jaroj-da-esperoj-pri-nova-mondo/,Cent jaroj da esperoj pri nova mondo,2021-02-20T10:49:29+01:00,,"kulturo,movado",
https://www.liberafolio.org/2021/02/21/un-rimarkis-esperanton-en-la-lingvotago/,UN rimarkis Esperanton en la lingvotago,2021-02-21T10:27:20+01:00,,"UEA,movado",
https://www.liberafolio.org/2021/02/23/kaj-la-ceter-cu-ne-literaturo/,Kaj la ceter’ – ĉu ne literaturo?,2021-02-23T09:59:32+01:00,,"kulturo,vidpunkto",
https://www.liberafolio.org/2021/02/27/vilmos-benczik-konstruinto-de-kolonoj/,Vilmos Benczik – konstruinto de kolonoj,2021-02-27T20:42:55+01:00,,kulturo,
https://www.liberafolio.org/2021/03/02/reta-serco-igis-delikto-kontrau-la-civito/,Reta ŝerco iĝis delikto kontraŭ la Civito,2021-03-02T07:44:25+01:00,,"TEJO,movado",
https://www.liberafolio.org/2021/03/03/interparolo-kun-vilmos-benczik/,Interparolo kun Vilmos Benczik,2021-03-03T07:07:24+01:00,,kulturo,
https://www.liberafolio.org/2021/03/05/cu-la-cina-por-hungaroj-pli-facilas-ol-esperanto/,Ĉu la ĉina por hungaroj pli facilas ol Esperanto?,2021-03-05T07:49:36+01:00,,movado,
https://www.liberafolio.org/2021/03/09/cu-la-15-a-regulo-forvelkas/,Ĉu la 15-a regulo forvelkas?,2021-03-09T13:51:14+01:00,,vidpunkto,
https://www.liberafolio.org/2021/03/12/la-retejo-de-uea-trovigas-en-neraportebla-stato/,La retejo de UEA troviĝas en neraportebla stato,2021-03-12T07:24:42+01:00,,UEA,
https://www.liberafolio.org/2021/03/15/kiel-uea-sercis-la-gefilojn-de-zamenhof/,Kiel UEA serĉis la gefilojn de Zamenhof,2021-03-15T07:33:45+01:00,,kulturo,
https://www.liberafolio.org/2021/03/17/la-akademio-ri-devos-atendi-gis-2031/,La Akademio: ”Ri” devos atendi ĝis 2031,2021-03-17T08:49:23+01:00,,kulturo,
https://www.liberafolio.org/2021/03/22/fabricio-valle-refoje-provos-eldoni-heroldon/,Fabrício Valle refoje provos eldoni Heroldon,2021-03-22T08:35:18+01:00,,"kulturo,movado",
https://www.liberafolio.org/2021/03/23/rasismaj-afisoj-en-retejo-de-uea/,Rasismaj afiŝoj en retejo de UEA,2021-03-23T20:03:12+01:00,,"UEA,movado",
https://www.liberafolio.org/2021/03/29/uea-kresketas-kaj-srumpas/,UEA kresketas kaj ŝrumpas,2021-03-29T09:54:55+02:00,,"UEA,movado",
https://www.liberafolio.org/2021/04/02/sankta-bovino-kaj-nia-diligenta-kolegaro/,Sankta bovino kaj nia diligenta kolegaro,2021-04-02T08:53:27+02:00,,vidpunkto,
https://www.liberafolio.org/2021/04/05/esperantistoj-same-strangas-kiel-signolingvanoj/,Esperantistoj same strangas kiel signolingvanoj,2021-04-05T09:12:23+02:00,,kulturo,
https://www.liberafolio.org/2021/04/06/nova-kurso-por-hispanlingvanoj/,Nova kurso por hispanlingvanoj,2021-04-06T07:25:38+02:00,,movado,
https://www.liberafolio.org/2021/04/06/uea-kasis-donacitajn-membrecojn/,UEA kaŝis donacitajn membrecojn,2021-04-06T08:15:48+02:00,,"UEA,movado",
https://www.liberafolio.org/2021/04/11/forpasis-trilingva-autoro/,Forpasis trilingva aŭtoro,2021-04-11T12:37:43+02:00,,kulturo,
https://www.liberafolio.org/2021/04/11/estas-pliparte-fido-tamen/,"Estas pliparte fido, tamen",2021-04-11T12:56:48+02:00,,vidpunkto,
https://www.liberafolio.org/2021/04/12/ne-okazos-la-ijk-en-ukrainio/,Ne okazos la IJK en Ukrainio,2021-04-12T15:02:12+02:00,,TEJO,
https://www.liberafolio.org/2021/04/13/jam-600-esperantistoj-respondis-al-unesko/,Jam 600 esperantistoj respondis al Unesko,2021-04-13T08:55:27+02:00,,movado,
